J0100002|beijing_city_2216
J0100004|beijing_city_222
J0100008|beijing_city_34995
J0100019|beijing_city_19865
J0100021|beijing_city_3000
J0100022|beijing_city_544
J0100023|beijing_city_1946
J0100024|beijing_city_634
J0100026|beijing_city_23719
J0100026|beijing_city_23719
J0100030|beijing_city_25060
J0100031|beijing_city_3966
J0100032|beijing_city_2010
J0100035|beijing_city_360
J0100036|beijing_city_141
J0100037|beijing_city_2764
J0100038|beijing_city_472
J0100039|beijing_city_289
J0100040|beijing_city_248
J0100041|beijing_city_2933
J0100042|beijing_city_2876
J0100043|beijing_city_10870
J0100044|beijing_city_18
J0100045|beijing_city_222
J0100045|beijing_city_223
J0100046|beijing_city_2735
J0100047|beijing_city_2707
J0100048|beijing_city_17980
J0100048|beijing_city_17980
J0100050|beijing_city_2721
J0100051|beijing_city_2714
J0100052|beijing_city_20096
J0100053|beijing_city_346
J0100054|beijing_city_2719
J0100055|beijing_city_2931
J0100056|beijing_city_2047
J0100057|beijing_city_478
J0100058|beijing_city_252
J0100059|beijing_city_3000
J0100060|beijing_city_12510
J0100061|beijing_city_4070
J0100062|beijing_city_106
J0100065|beijing_city_2946
J0100066|beijing_city_14438
J0100067|beijing_city_20109
J0100068|beijing_city_15474
J0100069|beijing_city_3457
J0100070|beijing_city_3738
J0100071|beijing_city_10933
J0100072|beijing_city_2053
J0100073|beijing_city_33915
J0200001|guangzhou_3728
J0200003|guangzhou_1981
J0200004|guangzhou_2049
J0200005|guangzhou_16598
J0200007|guangzhou_2833
J0200008|guangzhou_5788
J0200009|guangzhou_7929
J0200010|guangzhou_5695
J0200011|guangzhou_6412
J0200012|guangzhou_2281
J0200013|guangzhou_2082
J0200014|guangzhou_174
J0200015|guangzhou_12007
J0200016|guangzhou_10070
J0200017|guangzhou_2866
J0200018|guangzhou_3683
J0200019|guangzhou_5962
J0200020|guangzhou_2288
J0200021|guangzhou_5725
J0200022|guangzhou_9575
J0200022|guangzhou_9575
J0200023|guangzhou_11367
J0200024|guangzhou_2135
J0200025|guangzhou_2351
J0200026|guangzhou_7934
J0210031|shanghai_city_16877
J0210032|shanghai_city_16525
J0210033|shanghai_city_24514
J0210034|shanghai_city_16458
J0210035|shanghai_city_16771
J0210036|shanghai_city_2789
J0210037|shanghai_city_14817
J0210038|shanghai_city_21002
J0210039|shanghai_city_24305
J0210040|shanghai_city_24925
J0210041|shanghai_city_24665
J0210043|shanghai_city_2049
J0210044|shanghai_city_4766
J0210045|shanghai_city_24397
J0210046|shanghai_city_401
J0210047|shanghai_city_20984
J0210048|shanghai_city_17823
J0210049|shanghai_city_20985
J0210050|shanghai_city_16459
J0210051|shanghai_city_2378
J0210052|shanghai_city_24549
J0210057|shanghai_city_7132
J0210058|shanghai_city_9066
J0210059|shanghai_city_2285
J0210060|shanghai_city_305
J0210061|shanghai_city_22
J0210063|shanghai_city_4380
J0210064|shanghai_city_58
J0210066|shanghai_city_4910
J0210067|shanghai_city_631
J0210068|shanghai_city_3233
J0210069|shanghai_city_5170
J0210070|shanghai_city_5609
J0210072|shanghai_city_227
J0210073|shanghai_city_198
J0210075|shanghai_city_160
J0210076|shanghai_city_7373
J0210078|shanghai_city_18964
J0210079|shanghai_city_2303
J0210080|shanghai_city_14121
J0210081|shanghai_city_382
J0210082|shanghai_city_247
J0210083|shanghai_city_2300
J0210084|shanghai_city_262
J0210085|shanghai_city_2208
J0210086|shanghai_city_337
J0210087|shanghai_city_7314
J0210088|shanghai_city_2300
J0210089|shanghai_city_501
J0210090|shanghai_city_1946
J0210091|shanghai_city_17
J0210092|shanghai_city_16716
J0210093|shanghai_city_165
J0210095|shanghai_city_2487
J0210096|shanghai_city_135
J0210098|shanghai_city_81
J0210099|beijing_city_198
J0210100|shanghai_city_506
J0210101|shanghai_city_5725
J0210102|shanghai_city_403
J0210104|shanghai_city_4582
J0210105|shanghai_city_17111
J0210111|shanghai_city_4589
J0210113|shanghai_city_22791
J0220001|tianjin_city_43
J0220002|tianjin_city_2205
J0220003|tianjin_city_4264
J0220004|tianjin_city_25
J0220005|tianjin_city_2299
J0220006|tianjin_city_6292
J0220007|tianjin_city_2916
J0220008|tianjin_city_45
J0220009|tianjin_city_18
J0220010|tianjin_city_2643
J0220011|tianjin_city_2671
J0220012|tianjin_city_2200
J0220013|tianjin_city_5629
J0220014|tianjin_city_4378
J0220015|tianjin_city_2710
J0230001|chongqing_city_63
J0230002|chongqing_city_2065
J0230003|chongqing_city_5468
J0230004|chongqing_city_13287
J0230005|chongqing_city_1995
J0230006|chongqing_city_9230
J0230007|chongqing_city_1994
J0230008|chongqing_city_3996
J0230009|chongqing_city_5781
J0230010|chongqing_city_22
J0230011|chongqing_city_49
J0230012|chongqing_city_6978
J0230013|chongqing_city_2110
J0240001|shenyang_38
J0240002|shenyang_5736
J0240003|shenyang_37
J0240004|shenyang_24
J0240005|shenyang_4598
J0240006|shenyang_43
J0240007|shenyang_2456
J0240008|shenyang_15
J0240009|shenyang_8575
J0240010|shenyang_2003
J0240011|shenyang_5452
J0250001|nanjing_11301
J0250016|nanjing_8083
J0250017|nanjing_6096
J0250018|nanjing_2273
J0250019|nanjing_4746
J0250020|nanjing_5870
J0250021|nanjing_11209
J0250022|nanjing_7898
J0250023|nanjing_12037
J0250026|nanjing_52
J0250028|nanjing_82
J0250029|nanjing_1
J0250032|nanjing_11690
J0250033|nanjing_4981
J0250034|nanjing_7463
J0250036|nanjing_6634
J0250038|nanjing_9722
J0250039|nanjing_7549
J0250040|nanjing_11543
J0250041|nanjing_96
J0250042|nanjing_6528
J0250043|nanjing_25
J0250044|nanjing_7658
J0250045|nanjing_6282
J0250046|nanjing_6054
J0250047|nanjing_52
J0250048|nanjing_1979
J0250050|nanjing_8821
J0250051|nanjing_8799
J0250052|nanjing_7908
J0250058|nanjing_2275
J0250061|nanjing_37
J0250067|nanjing_7498
J0250075|nanjing_82
J0250081|nanjing_5
J0250082|nanjing_87
J0250083|nanjing_6024
J0250083|nanjing_6024
J0250084|nanjing_54
J0250084|nanjing_54
J0250085|nanjing_12172
J0250085|nanjing_12173
J0270001|wuhan_5451
J0270002|wuhan_4206
J0270003|wuhan_22
J0270004|wuhan_58
J0270005|wuhan_6929
J0270006|wuhan_1992
J0270007|wuhan_122
J0270008|wuhan_7194
J0270010|wuhan_47
J0270011|wuhan_4422
J0270012|wuhan_2102
J0270013|wuhan_3714
J0270014|wuhan_2066
J0270015|wuhan_2057
J0270016|wuhan_79
J0270017|wuhan_5762
J0270018|wuhan_36
J0270019|wuhan_6647
J0270020|wuhan_2116
J0270021|wuhan_2008
J0270023|wuhan_6911
J0280001|chengdu_153
J0280002|chengdu_90
J0280003|chengdu_1992
J0280004|chengdu_104
J0280005|chengdu_7431
J0280006|chengdu_307
J0280007|chengdu_14672
J0280008|chengdu_73
J0280009|chengdu_2061
J0280010|chengdu_7358
J0280011|chengdu_7352
J0280012|chengdu_106
J0280013|chengdu_5416
J0280014|chengdu_1991
J0280015|chengdu_4756
J0280016|chengdu_7432
J0280017|chengdu_1942
J0280018|chengdu_92
J0280019|chengdu_2185
J0280020|chengdu_7397
J0280021|chengdu_10346
J0280022|chengdu_4780
J0290002|xian_52
J0290003|xian_152
J0290004|xian_2836
J0290005|xian_4815
J0290006|xian_164
J0290007|xian_2059
J0290008|xian_4883
J0290009|xian_6066
J0290010|xian_3040
J0290012|xian_7726
J0290013|xian_2018
J3110001|shijiazhuang_4009
J3110002|shijiazhuang_3581
J3110003|shijiazhuang_2018
J3510001|taiyuan_11
J3510003|taiyuan_3967
J3710001|zhengzhou_19
J3710002|zhengzhou_1993
J3710003|zhengzhou_4293
J3710004|zhengzhou_5340
J4110001|dalian_1995
J4110002|dalian_2199
J4110003|dalian_18
J4110004|dalian_1996
J4110005|dalian_1997
J4110006|dalian_5836
J4110007|dalian_26
J4110008|dalian_6
J4110009|dalian_2003
J4110010|dalian_4595
J4310001|changchun_4013
J4310002|changchun_2044
J4310003|changchun_32
J4310004|changchun_2015
J4510002|haerbin_33
J4510003|haerbin_40
J4510004|haerbin_21
J4510005|haerbin_8
J4510006|haerbin_4
J4510007|haerbin_37
J4510008|haerbin_4524
J4510009|haerbin_5069
J4710001|huhehaote_8
J4710002|huhehaote_2021
J4710003|huhehaote_2297
J5100001|wuxi_2033
J5100002|wuxi_44
J5100003|wuxi_5039
J5100004|wuxi_2213
J5100005|wuxi_3653
J5100006|wuxi_3939
J5100007|wuxi_7595
J5100008|wuxi_3718
J5100009|wuxi_5777
J5100010|wuxi_5954
J5100011|wuxi_5
J5100012|wuxi_1992
J5110001|zhenjiang_2922
J5120002|suzhou_jiangsu_1983
J5120003|suzhou_jiangsu_10290
J5120004|suzhou_jiangsu_12759
J5120005|suzhou_jiangsu_110
J5120006|suzhou_jiangsu_3357
J5120007|suzhou_jiangsu_40
J5120008|suzhou_jiangsu_2104
J5120009|suzhou_jiangsu_7776
J5120010|suzhou_jiangsu_1985
J5120011|suzhou_jiangsu_4053
J5120012|suzhou_jiangsu_1984
J5120013|suzhou_jiangsu_2158
J5120014|suzhou_jiangsu_8264
J5130001|nantong_3188
J5310001|jinan_53
J5310002|jinan_4128
J5310003|jinan_4192
J5310004|jinan_6
